"國民所得統計常用資料(2008SNA)-年 依 期間, 指標 與 種類"

" ","期中人口(人)"," "," 平均匯率(元/美元)"," "," 經濟成長(%)"," "," 國內生產毛額GDP(名目值，百萬元)"," "," 國內生產毛額GDP(名目值，百萬美元)"," "," 平均每人GDP(名目值，元)"," "," 平均每人GDP(名目值，美元)"," "," 國民所得毛額GNI(名目值，百萬元)"," "," 國民所得毛額GNI(名目值，百萬美元)"," "," 平均每人GNI(名目值，元)"," "," 平均每人GNI(名目值，美元)"," "," 國民所得(名目值，百萬元)"," "," 國民所得(名目值，百萬美元)"," "," 平均每人所得(名目值，元)"," "," 平均每人所得(名目值，美元)"," "
" ","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)"
"1951",7758202,-,10.30,--,-,--,12327,-,1197,-,1589,-,154,-,12320,-,1196,-,1588,-,154,-,12276,-,1192,-,1582,-,154,-
"1952",8046915,3.72,10.30,--,12.00,--,17275,40.14,1677,40.10,2147,35.12,208,35.06,17271,40.19,1677,40.22,2146,35.14,208,35.06,17119,39.45,1662,39.43,2127,34.45,207,34.42
"1953",8333009,3.56,15.55,--,9.49,--,23036,33.35,1481,-11.69,2764,28.74,178,-14.42,23032,33.36,1481,-11.69,2764,28.80,178,-14.42,22712,32.67,1461,-12.09,2726,28.16,175,-15.46
"1954",8645264,3.75,15.55,--,9.64,--,25315,9.89,1628,9.93,2928,5.93,188,5.62,25311,9.89,1628,9.93,2928,5.93,188,5.62,24759,9.01,1592,8.97,2864,5.06,184,5.14
"1955",8967001,3.72,15.55,--,7.72,--,30163,19.15,1940,19.16,3364,14.89,216,14.89,30160,19.16,1940,19.16,3363,14.86,216,14.89,29326,18.45,1886,18.47,3270,14.18,210,14.13
"1956",9289545,3.60,24.78,--,6.17,--,34672,14.95,1399,-27.89,3732,10.94,151,-30.09,34665,14.94,1399,-27.89,3732,10.97,151,-30.09,33546,14.39,1354,-28.21,3611,10.43,146,-30.48
"1957",9597690,3.32,24.78,--,7.81,--,40549,16.95,1636,16.94,4225,13.21,170,12.58,40494,16.82,1634,16.80,4219,13.05,170,12.58,38965,16.15,1572,16.10,4060,12.43,164,12.33
"1958",9920227,3.36,24.78,--,7.68,--,45498,12.20,1836,12.22,4586,8.54,185,8.82,45317,11.91,1829,11.93,4568,8.27,184,8.24,43409,11.41,1752,11.45,4376,7.78,177,7.93
"1959",10288327,3.71,36.38,--,8.81,--,52526,15.45,1444,-21.35,5105,11.32,140,-24.32,52370,15.56,1440,-21.27,5090,11.43,140,-23.91,49984,15.15,1374,-21.58,4858,11.01,134,-24.29
