YEARYY,HOSPID,HOSPNAME,SPECIALNAME,CODE2,CODE3,CODE5,CODE8,CODE9,CODE10,CODE11,,
100Q1,0501010019,三軍總醫院松山分院附設民眾診療服務處                        ,區域醫院            ,45.00,3.84,0.9777,1,9,n,,,
100Q1,3501013040,安禾聯合診所                                                ,診所                ,179.00,4.04,0.9385,2,22,n,,,
100Q1,3501011313,安德聯合診所                                                ,診所                ,230.00,3.94,0.9478,3,29,n,,,
100Q1,1101010012,長庚醫療財團法人台北長庚紀念醫院                            ,醫學中心            ,212.00,3.97,0.9858,2,25,n,,,
100Q1,3501013326,祐腎內科診所                                                ,診所                ,46.00,3.98,0.9782,1,5,n,y,,
100Q1,1101010021,基督復臨安息日會醫療財團法人臺安醫院                        ,區域醫院            ,156.00,3.79,0.9487,3,21,y,,,
100Q1,1501010010,博仁綜合醫院                                                ,地區醫院            ,67.00,3.83,0.9701,1,8,y,,,
100Q1,0901020013,中山醫療社團法人中山醫院                                    ,地區醫院            ,43.00,3.95,0.9534,1,6,n,y,,
100Q1,1101020027,中心診所醫療財團法人中心綜合醫院                            ,地區醫院            ,87.00,3.99,1.0000,1,11,y,y,,
100Q1,3501028029,安仁診所                                                    ,診所                ,42.00,3.89,1.0000,1,8,n,,,
100Q1,1101020036,宏恩醫療財團法人宏恩綜合醫院                                ,地區醫院            ,58.00,3.87,1.0000,1,8,y,,,
100Q1,3501026609,杏心診所                                                    ,診所                ,50.00,4.17,1.0000,1,5,n,,,
100Q1,3501023457,皇家診所                                                    ,診所                ,86.00,3.86,0.9651,1,12,n,,,
100Q1,1101020018,國泰醫療財團法人國泰綜合醫院                                ,醫學中心            ,197.00,4.09,0.9543,3,31,y,y,,
100Q1,3501022754,羅斯福診所                                                  ,診所                ,125.00,3.91,0.9760,3,17,n,,,
100Q1,3501093271,和泰內科診所                                                ,診所                ,37.00,4.02,1.0000,1,5,n,y,,
100Q1,0101090517,臺北市立聯合醫院                                            ,區域醫院            ,137.00,3.81,0.9708,13,84,y,,,
100Q1,0101090517,臺北市立聯合醫院                                            ,區域醫院            ,90.00,3.78,0.9111,13,84,y,,,
100Q1,0101090517,臺北市立聯合醫院                                            ,區域醫院            ,115.00,3.92,0.9739,13,84,y,,,
100Q1,0101090517,臺北市立聯合醫院                                            ,區域醫院            ,156.00,3.75,0.9871,13,84,y,,,
100Q1,0101090517,臺北市立聯合醫院                                            ,區域醫院            ,78.00,3.92,1.0000,13,84,y,,,
100Q1,3501103281,仁佑診所                                                    ,診所                ,96.00,3.85,0.9791,2,10,n,,,
100Q1,3501103905,宏林診所                                                    ,診所                ,83.00,4.10,1.0000,1,10,n,,,
100Q1,3501105936,怡仁診所                                                    ,診所                ,67.00,3.83,0.9850,3,7,n,,,
100Q1,1101100011,財團法人臺灣基督長老教會馬偕紀念社會事業基金會馬偕紀念醫院  ,醫學中心            ,266.00,3.96,0.9924,6,44,y,y,,
100Q1,1501100055,福全醫院                                                    ,地區醫院            ,87.00,3.74,1.0000,1,11,n,,,
100Q1,0501110514,三軍總醫院附設民眾診療服務處                                ,醫學中心            ,139.00,4.21,0.9856,6,35,y,y,,
100Q1,1301110511,中國醫藥大學附設醫院臺北分院                                ,地區醫院            ,41.00,3.68,0.9756,1,5,y,,,
100Q1,3501112980,內湖內科診所                                                ,診所                ,44.00,3.89,1.0000,1,,n,n,,
100Q1,3501110973,東成診所                                                    ,診所                ,105.00,3.95,0.9904,2,11,n,,,
100Q1,3501112299,洪永祥診所                                                  ,診所                ,77.00,3.86,0.9740,2,11,n,,,
100Q1,1101110026,康寧醫療財團法人康寧醫院                                    ,地區醫院            ,151.00,3.91,0.9735,3,17,y,y,,
100Q1,3501153656,百齡診所                                                    ,診所                ,44.00,4.20,1.0000,1,8,n,,,
100Q1,3501153889,怡德診所                                                    ,診所                ,82.00,3.92,1.0000,2,11,n,,,
100Q1,1101150011,新光醫療財團法人新光吳火獅紀念醫院                          ,醫學中心            ,482.00,4.09,0.9751,10,60,y,y,,
100Q1,3501151778,福林診所                                                    ,診所                ,58.00,4.05,1.0000,1,,n,n,,
100Q1,3501161176,文林診所                                                    ,診所                ,102.00,3.98,0.9705,2,13,n,,,
100Q1,3501162824,承新診所                                                    ,診所                ,90.00,4.07,0.9666,1,11,n,,,
100Q1,1101160017,振興醫療財團法人振興醫院                                    ,區域醫院            ,174.00,3.32,0.9655,5,29,y,,,
100Q1,3501162959,華榮診所                                                    ,診所                ,74.00,3.90,0.9729,1,8,n,,,
100Q1,0701160518,臺北市立關渡醫院-委託臺北榮民總醫院經營                     ,地區醫院            ,75.00,3.50,0.9066,1,9,n,,,
100Q1,0601160016,臺北榮民總醫院                                              ,醫學中心            ,191.00,3.97,1.0000,10,50,y,y,,
100Q1,3501173005,佳康內科診所                                                ,診所                ,56.00,4.04,0.9821,1,7,n,,,
100Q1,3501173836,松禾診所                                                    ,診所                ,41.00,3.77,1.0000,1,5,y,y,,
100Q1,1301170017,臺北醫學大學附設醫院                                        ,區域醫院            ,144.00,4.09,1.0000,4,21,y,y,,
100Q1,0401180014,國立臺灣大學醫學院附設醫院                                  ,醫學中心            ,195.00,4.06,0.9948,14,47,y,y,,
100Q1,3501180395,紹毅內兒科診所                                              ,診所                ,87.00,3.96,0.9770,1,10,n,,,
100Q1,1501180035,郵政總局郵政醫院                                            ,地區醫院            ,77.00,4.21,0.9740,1,10,y,,,
100Q1,4001180010,醫療財團法人徐元智先生醫藥基金會遠東聯合診所                ,診所                ,80.00,3.75,1.0000,2,7,n,,,
100Q1,1401190039,同仁院醫療財團法人萬華醫院                                  ,地區醫院            ,84.00,4.09,1.0000,1,13,y,y,,
100Q1,1501190031,西園醫院                                                    ,地區醫院            ,51.00,3.81,1.0000,2,5,y,y,,
100Q1,1401190011,財團法人台灣省私立台北仁濟院附設仁濟醫院                    ,地區醫院            ,66.00,3.90,0.9848,2,6,y,y,,
100Q1,0401190010,國立臺灣大學醫學院附設醫院北護分院                          ,地區醫院            ,72.00,4.02,0.9583,2,8,y,y,,
100Q1,3501194595,萬澤內科診所                                                ,診所                ,72.00,4.05,1.0000,1,9,n,,,
100Q1,3501202725,景安診所                                                    ,診所                ,93.00,3.84,0.9677,2,10,n,,,
100Q1,1301200010,臺北市立萬芳醫院－委託財團法人臺北醫學大學辦理              ,醫學中心            ,319.00,3.77,0.9686,4,41,y,,,
