"國內各業生產及平減指數(2008SNA)-年 依 期間, 行業, 指標 與 種類"

" "," "," 國內生產毛額_當期價格(新台幣百萬元)"
" "," ","原始值"
"2007"
" ","A.農、林、漁、牧業",191886
" ","AA.農耕業",139746
" ","AB.畜牧業",19357
" ","AC.林業",1935
" ","AD.漁業",30848
" ","B.礦業及土石採取業",21279
" ","C.製造業",3916754
" ","CA.食品製造業",87316
" ","CB.飲料及菸草製造業",63703
" ","CC.紡織業",87878
" ","CD.成衣及服飾品製造業",28384
" ","CE.皮革、毛皮及其製品製造業",19082
" ","CF.木竹製品製造業",10083
" ","CG.紙漿、紙及紙製品製造業",45182
" ","CH.印刷及資料儲存媒體複製業",38652
" ","CI.石油及煤製品製造業",213084
" ","CJ.化學材料製造業",223466
" ","CK.化學製品製造業",49888
" ","CL.藥品及醫用化學製品製造業",34875
" ","CM.橡膠製品製造業",30760
" ","CN.塑膠製品製造業",80797
" ","CO.非金屬礦物製品製造業",137197
" ","CP.基本金屬製造業",254089
" ","CQ.金屬製品製造業",219585
" ","CR.電子零組件製造業",1236244
" ","CS.電腦、電子產品及光學製品製造業",445665
" ","CT.電力設備製造業",120727
" ","CU.機械設備製造業",197673
" ","CV.汽車及其零件製造業",100424
" ","CW.其他運輸工具及其零件製造業",73999
" ","CX.家具製造業",17482
" ","CY.其他製造業",100519
" ","D.電力及燃氣供應業",134882
" ","DA.電力供應業",121356
" ","DB.氣體燃料供應業",13526
" ","E.用水供應及污染整治業",91249
" ","EA.用水供應業",23038
" ","EB.污染整治業",68211
" ","F.營造業",340688
" ","G.批發及零售業",2207831
" ","GA.批發業",1316254
" ","GB.零售業",891577
" ","H.運輸及倉儲業",398123
" ","HA.陸上運輸業",164056
" ","HB.水上運輸業",31131
" ","HC.航空運輸業",46084
" ","HD.運輸輔助及倉儲業",129341
" ","HE.郵政及快遞業",27511
" ","I.住宿及餐飲業",266518
" ","IA住宿服務業",47713
" ","IB.餐飲業",218805
" ","J.資訊及通訊傳播業",424288
" ","JA.傳播業",101372
" ","JB.電信業",226556
" ","JC.資訊業",96360
" ","K.金融及保險業",943559
" ","KA.金融中介業",589392
" ","KB.保險業",224950
" ","KC.證券期貨及其他金融業",129217
" ","L.不動產及住宅服務業",1115934
" ","LA.不動產業",200379
" ","LB.住宅服務",915555
" ","M.專業、科學及技術服務業",281682
" ","N.支援服務業",174186
" ","NA.租賃業",36632
" ","NB.其他支援服務業",137554
" ","O.公共行政及國防；強制性社會安全",947340
" ","P.教育服務業",628363
" ","Q.醫療保健及社會工作服務業",353984
" ","QA.醫療保健服務業",327563
" ","QB.社會工作服務業",26421
" ","R.藝術、娛樂及休閒服務業",102195
" ","S.其他服務業",333112
" ","SA.宗教、職業及類似組織",54770
" ","SB.家事服務業",87722
" ","SC.未分類其他服務業",190620
" ","合 計",12873853
" ","進口稅",138046
" ","加值型營業稅",222720
" ","總 計(生產面)",13234619
" ","統計差異",172443
" ","GDP",13407062
" ","按三級產業分:農業",191886
" ","按三級產業分:工業",4504852
" ","按三級產業分:服務業",8537881
" ","補充項目:ICT產業",2004825
"2008"
" ","A.農、林、漁、牧業",201656
" ","AA.農耕業",145578
" ","AB.畜牧業",25373
" ","AC.林業",1826
" ","AD.漁業",28879
" ","B.礦業及土石採取業",21647
" ","C.製造業",3678114
" ","CA.食品製造業",85990
" ","CB.飲料及菸草製造業",63188
" ","CC.紡織業",78812
" ","CD.成衣及服飾品製造業",25127
" ","CE.皮革、毛皮及其製品製造業",18260
" ","CF.木竹製品製造業",10010
" ","CG.紙漿、紙及紙製品製造業",45169
" ","CH.印刷及資料儲存媒體複製業",37097
" ","CI.石油及煤製品製造業",109311
" ","CJ.化學材料製造業",141915
" ","CK.化學製品製造業",50192
" ","CL.藥品及醫用化學製品製造業",33949
" ","CM.橡膠製品製造業",28586
" ","CN.塑膠製品製造業",82937
" ","CO.非金屬礦物製品製造業",136466
" ","CP.基本金屬製造業",256302
" ","CQ.金屬製品製造業",224763
" ","CR.電子零組件製造業",1223637
" ","CS.電腦、電子產品及光學製品製造業",439434
" ","CT.電力設備製造業",111925
" ","CU.機械設備製造業",189980
" ","CV.汽車及其零件製造業",88188
" ","CW.其他運輸工具及其零件製造業",83928
" ","CX.家具製造業",16622
" ","CY.其他製造業",96326
" ","D.電力及燃氣供應業",39959
" ","DA.電力供應業",59788
" ","DB.氣體燃料供應業",-19829
" ","E.用水供應及污染整治業",90877
" ","EA.用水供應業",22646
" ","EB.污染整治業",68231
" ","F.營造業",344736
" ","G.批發及零售業",2251642
" ","GA.批發業",1377730
" ","GB.零售業",873912
" ","H.運輸及倉儲業",379770
" ","HA.陸上運輸業",162193
" ","HB.水上運輸業",32922
" ","HC.航空運輸業",31197
" ","HD.運輸輔助及倉儲業",125870
" ","HE.郵政及快遞業",27588
" ","I.住宿及餐飲業",274529
" ","IA住宿服務業",47259
" ","IB.餐飲業",227270
" ","J.資訊及通訊傳播業",434811
" ","JA.傳播業",102998
" ","JB.電信業",226950
" ","JC.資訊業",104863
" ","K.金融及保險業",912842
" ","KA.金融中介業",583374
" ","KB.保險業",218843
" ","KC.證券期貨及其他金融業",110625
" ","L.不動產及住宅服務業",1127873
" ","LA.不動產業",183965
" ","LB.住宅服務",943908
" ","M.專業、科學及技術服務業",284988
" ","N.支援服務業",185482
" ","NA.租賃業",38468
" ","NB.其他支援服務業",147014
" ","O.公共行政及國防；強制性社會安全",988665
" ","P.教育服務業",624905
" ","Q.醫療保健及社會工作服務業",365507
" ","QA.醫療保健服務業",337944
" ","QB.社會工作服務業",27563
" ","R.藝術、娛樂及休閒服務業",106098
" ","S.其他服務業",344835
" ","SA.宗教、職業及類似組織",59873
" ","SB.家事服務業",90415
" ","SC.未分類其他服務業",194547
" ","合 計",12658936
" ","進口稅",132563
" ","加值型營業稅",221321
" ","總 計(生產面)",13012820
" ","統計差異",138130
" ","GDP",13150950
" ","按三級產業分:農業",201656
" ","按三級產業分:工業",4175333
" ","按三級產業分:服務業",8635831
" ","補充項目:ICT產業",1994884
"2009"
" ","A.農、林、漁、牧業",215109
" ","AA.農耕業",147644
" ","AB.畜牧業",31714
" ","AC.林業",1640
" ","AD.漁業",34111
" ","B.礦業及土石採取業",17042
" ","C.製造業",3484377
" ","CA.食品製造業",93214
" ","CB.飲料及菸草製造業",72215
" ","CC.紡織業",74645
" ","CD.成衣及服飾品製造業",25327
" ","CE.皮革、毛皮及其製品製造業",16988
" ","CF.木竹製品製造業",8965
" ","CG.紙漿、紙及紙製品製造業",38021
" ","CH.印刷及資料儲存媒體複製業",35670
" ","CI.石油及煤製品製造業",165201
" ","CJ.化學材料製造業",211811
