"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
"2016-01-27T15:11:17.660Z",1.0018,-28.1677,10,5.3,"mb",NA,47,10.278,1.25,"us","us20004v38","2016-01-27T15:32:38.935Z","Central Mid-Atlantic Ridge","earthquake",9.7,1.9,0.055,111,"reviewed","us","us"
"2016-01-27T13:16:35.780Z",-30.6292,-71.6795,27.15,4.8,"mb",NA,139,0.058,0.65,"us","us20004v1z","2016-01-27T13:36:20.094Z","46km W of Ovalle, Chile","earthquake",5.3,5,0.09,38,"reviewed","us","us"
"2016-01-27T06:32:08.910Z",35.7313,-3.5226,10,4.9,"mb",NA,58,2.293,1.15,"us","us20004uze","2016-01-27T11:11:17.471Z","64km N of Boudinar, Morocco","earthquake",7.6,1.9,0.036,268,"reviewed","us","us"
"2016-01-27T05:46:45.500Z",-6.1318,148.9774,70.89,4.8,"mb",NA,82,3.713,0.46,"us","us20004uz3","2016-01-27T06:08:03.064Z","64km W of Kandrian, Papua New Guinea","earthquake",7.7,6,0.109,26,"reviewed","us","us"
"2016-01-27T01:40:16.370Z",-2.7896,128.0752,35.74,4.7,"mb",NA,92,3.607,1.21,"us","us20004uxi","2016-01-27T02:20:18.916Z","33km NNW of Piru, Indonesia","earthquake",4.2,7.7,0.083,44,"reviewed","us","us"
"2016-01-27T01:27:06.780Z",-20.3104,-173.455,92.75,5,"mb",NA,106,3.543,0.83,"us","us20004uxf","2016-01-27T01:41:23.259Z","109km ESE of Pangai, Tonga","earthquake",14.8,11.3,0.109,27,"reviewed","us","us"
"2016-01-27T01:24:30.620Z",8.3142,137.8044,10,5.1,"mb",NA,38,12.18,1.1,"us","us20004uxe","2016-01-27T01:48:23.021Z","38km ESE of Ngulu, Micronesia","earthquake",3.3,1.8,0.055,106,"reviewed","us","us"
"2016-01-26T23:19:08.890Z",36.7584,69.8539,308.62,5.2,"mb",NA,38,0.684,0.79,"us","us20004uwb","2016-01-27T03:02:10.511Z","20km N of Farkhar, Afghanistan","earthquake",6.5,5.4,0.036,253,"reviewed","us","us"
"2016-01-26T22:06:06.900Z",-5.2418,153.1785,36.37,5,"mb",NA,115,1.453,0.93,"us","us20004uva","2016-01-26T22:25:53.699Z","87km S of Taron, Papua New Guinea","earthquake",8.8,7.8,0.089,40,"reviewed","us","us"
"2016-01-26T21:59:57.990Z",-10.3797,119.4192,36.07,5.1,"mb",NA,67,3.276,1.23,"us","us20004uv8","2016-01-26T22:16:36.602Z","69km S of Padedewatu, Indonesia","earthquake",7,7.3,0.08,51,"reviewed","us","us"
